time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1620148843949915000,103.92691479492187,-2.9015981825051003,-0.5990904191785053,-0.5928041856631534,-1.4299547257081187,0.42305926646093095,0.3327080726697064,-1.1229065766855832
1620148843959918800,103.9369189453125,-2.870202669614625,-0.5944014634059214,-0.5957550297987663,-1.3970278360405062,0.4271381908287236,0.3306295058353411,-1.1237583157845987
1620148843969923000,103.94692309570313,-2.8370062764754143,-0.5859475562657849,-0.60267791378134,-1.3501662323463575,0.4291431013981442,0.33057665665509994,-1.122930176371149
1620148843979927000,103.95692700195312,-2.8069203258419204,-0.5767269330548638,-0.6103310041985887,-1.3028283244467462,0.43011132107557143,0.331490941550074,-1.121497724422825
1620148843989932000,103.96693212890625,-2.7830341945210773,-0.5675629614549087,-0.6178931617079112,-1.2596269829790054,0.4299800340235428,0.3334629162465763,-1.1201605840391031
1620148843999936000,103.97693603515626,-2.7682153377811245,-0.5583007111673646,-0.6253644911367857,-1.2218211944280857,0.42823806072019743,0.3373896831081193,-1.1201235931816678
1620148844009940200,103.98694018554687,-2.7653507200362055,-0.5500172659692133,-0.6314059416927058,-1.1947678530563244,0.42516706414449973,0.3435702853334152,-1.123368875361057
1620148844019945200,103.9969453125,-2.7740237556743046,-0.5443531822859281,-0.6344025710478098,-1.183533663568007,0.42187659206416145,0.3510457808808825,-1.1306948198304518
1620148844029949000,104.00694897460937,-2.791075741285226,-0.5417570681511059,-0.6342634759832384,-1.187587057687391,0.41911248017253055,0.3585440536661803,-1.14072758843077
1620148844039953000,104.01695288085938,-2.8111417517791613,-0.5417227036950283,-0.6318173778310059,-1.2019802547717497,0.4174138880101331,0.36484083968561637,-1.1512423626427049
1620148844049957000,104.02695703125,-2.8284015618114458,-0.5433874899845899,-0.628121545676587,-1.2201593314432257,0.41712690992034424,0.3690507966552094,-1.160344439843332
1620148844059962000,104.03696215820312,-2.8394657153963467,-0.5460395810701241,-0.6238493579392378,-1.2375497568944973,0.41833369705313994,0.3710116027848312,-1.167479288551232
1620148844069966000,104.04696606445313,-2.844300058841284,-0.5495249253645028,-0.61897736357985,-1.25365428764944,0.421001979716847,0.37100762621404487,-1.173195973432274
1620148844079970000,104.05696997070312,-2.844796623322387,-0.5538736158670884,-0.6132938047602584,-1.2699096080588352,0.4249191287454859,0.3695111977497435,-1.1782574941791655
1620148844089975000,104.06697509765625,-2.8421218767975733,-0.5591517470887089,-0.60657418425581,-1.287451463502208,0.43000550366819207,0.36675927905044786,-1.1831731266347445
